Num|Fact
1|All arrays Chuck Norris declares are of infinite size, because Chuck Norris knows no bounds.
2|No statement can catch the ChuckNorrisException.
3|Chuck Norris doesn't have disk latency because the hard drive knows to hurry the hell up.
4|All browsers support the hex definitions #Chuck and #Norris for the colors black and blue.
1|All arrays Chuck Norris declares are of infinite size, because Chuck Norris knows no bounds.
3|Chuck Norris doesn't have disk latency because the hard drive knows to hurry the hell up.
4|All browsers support the hex definitions #Chuck and #Norris for the colors black and blue.
5|Chuck Norris can't test for equality because he has no equal.
6|Chuck Norris doesn't need garbage collection because he doesn't call .Dispose(), he calls .DropKick().
7|Chuck Norris's first program was kill -9.
8|Chuck Norris burst the dot com bubble.
9|Chuck Norris writes code that optimizes itself.
10|Chuck Norris can write infinite recursion functions... and have them return.
11|Chuck Norris can solve the Towers of Hanoi in one move.
12|The only pattern Chuck Norris knows is God Object.
13|Chuck Norris finished World of Warcraft.
14|Project managers never ask Chuck Norris for estimations... ever.
15|Chuck Norris doesn't use web standards as the web will conform to him.
16|\It works on my machine\ always holds true for Chuck Norris.
17|Whiteboards are white because Chuck Norris scared them that way.
18|Chuck Norris's beard can type 140 wpm.
19|Chuck Norris can unit test an entire application with a single assert.
20|Chuck Norris doesn't bug hunt, as that signifies a probability of failure. He goes bug killing.
21|Chuck Norris's keyboard doesn't have a Ctrl key because nothing controls Chuck Norris.
22|Chuck Norris doesn't need a debugger, he just stares down the bug until the code confesses.
23|Chuck Norris can access private methods.
24|Chuck Norris can instantiate an abstract class.
25|Chuck Norris doesn't need to know about class factory pattern. He can instantiate interfaces.
26|The class object inherits from Chuck Norris.
27|For Chuck Norris, NP-Hard = O(1).
28|Chuck Norris knows the last digit of PI.
29|Chuck Norris can divide by zero.
30|Chuck Norris doesn't get compiler errors, the language changes itself to accommodate Chuck Norris.
31|The programs that Chuck Norris writes don't have version numbers because he only writes them once. If a user reports a bug or has a feature request they don't live to see the sun set.
32|Chuck Norris doesn't believe in floating point numbers because they can't be typed on his binary keyboard.
33|Chuck Norris solved the Travelling Salesman problem in O(1) time.
34|Chuck Norris never gets a syntax error. Instead, the language gets a DoesNotConformToChuck error.
35|No statement can catch the ChuckNorrisException.
36|Chuck Norris doesn't program with a keyboard. He stares the computer down until it does what he wants.
37|Chuck Norris doesn't pair program.
38|Chuck Norris can write multi-threaded applications with a single thread.
39|There is no Esc key on Chuck Norris' keyboard, because no one escapes Chuck Norris.
40|Chuck Norris doesn't delete files, he blows them away.
41|Chuck Norris can binary search unsorted data.
42|Chuck Norris breaks RSA 128-bit encrypted codes in milliseconds.
43|Chuck Norris went out of an infinite loop.
44|Chuck Norris can read all encrypted data, because nothing can hide from Chuck Norris.
45|Chuck Norris hosting is 101% uptime guaranteed.
46|When a bug sees Chuck Norris, it flees screaming in terror, and then immediately self-destructs to avoid being roundhouse-kicked.
47|Chuck Norris rewrote the Google search engine from scratch.
48|Chuck Norris doesn't need the cloud to scale his applications, he uses his laptop.
49|Chuck Norris can access the DB from the UI.
50|Chuck Norris' protocol design method has no status, requests or responses, only commands.
51|Chuck Norris' programs occupy 150% of CPU, even when they are not executing.
52|Chuck Norris can spawn threads that complete before they are started.
53|Chuck Norris programs do not accept input.
54|Chuck Norris doesn't need an OS.
55|Chuck Norris can compile syntax errors.
56|Chuck Norris compresses his files by doing a flying round house kick to the hard drive.
57|Chuck Norris doesn't use a computer because a computer does everything slower than Chuck Norris.
58|You don't disable the Chuck Norris plug-in, it disables you.
59|Chuck Norris doesn't need a java compiler, he goes straight to .war
60|Chuck Norris can use GOTO as much as he wants to. Telling him otherwise is considered harmful.
61|There is nothing regular about Chuck Norris' expressions.
62|Quantum cryptography does not work on Chuck Norris. When something is being observed by Chuck it stays in the same state until he's finished. 
63|There is no need to try catching Chuck Norris' exceptions for recovery; every single throw he does is fatal.
64|Chuck Norris' beard is immutable.
65|Chuck Norris' preferred IDE is hexedit.